Artista,Album,Ano,Empresa,Qnt. de Albuns Vendidos
IZ*ONE,COLOR*IZ,2018,Stone Music,140000
TWICE,Yes or Yes,2018,JYP,141800
WJSN,WJ PLEASE?,2018,Starship,55700
GFRIEND,Time For The Moon Night,2018,Source Music,51000
FROMIS_9,To.Heart,2018,Stone Music,9300
NCT,EMPATHY,2018,SM,313900
GOT7,Eyes On You,2018,JYP,333460
THE BOYZ,THE ONLY,2018,Cre.ker,87052
EXO,Don't Mess Up My Tempo,2018,SM,1961853
BLACKPINK,Square Up,2018,YG,145361
SEVENTEEN,You Make My Day,2018,Pledis,347139
WINNER,EVERYD4Y,2018,YG,91265
IKON,RETURN,2018,YG,69489
RED VELVET,The Perfect Red Velvet,2018,SM,59535
BTOB,HOUR MOMENT,2018,Cube,52206
DAY6,Remember Us,2018,JYP,33870
UP10TION,INVITATION,2018,Top Media,31877
GOLDEN CHILD,GOLDNESS,2018,Woollim,29277
PENTAGON,POSITIVE,2018,Cube,46673
INFINITE,TOP SEED,2018,Woollim,56019
THE BOYZ,THE START,2018,Cre.ker,60913
DAY6,Shoot Me,2018,JYP,45577
RED VELVET,Summer Magic,2018,SM,38118
LOVELYZ,Heal,2018,Woollim,33726
TAEYEON,Something New,2018,SM,49541
SEVENTEEN,An ODE,2019,Pledis,796134
TWICE,Feel Special,2019,JYP,368842
X1,Quantum Leap,2019,Swing,568098
THE BOYZ,DREAMLIKE,2019,Cre.ker,105283
DREAMCATCHER,Raid of a Dream,2019,Dreamcatcher,26792
ONEUS,Fly With Us,2019,WM,15048
ITZY,IT'Z ICY,2019,JYP,114129
NCT DREAM,We Boom,2019,SM,319959
EVERGLOW,HUSH,2019,Yueha,18827
TWICE,FANCY YOU,2019,JYP,385084
ATEEZ,ONE TO ALL,2019,KQ,132291
RED VELVET,The ReVe Festival: Day 2,2019,SM,109877
AB6IX,B_COMPLETE,2019,BNM,166791
TXT,The Dream Chapter: MAGIC,2019,BigHit,124252
TXT,The Dream Chapter: STAR,2019,BigHit,189338
DAY6,The Book of Us: Entropy,2019,JYP,42773
